chi_name,wind_name
东音股份,002793.SZ
动力源,600405.SH
大庆华科,000985.SZ
大冷股份,000530.SZ
鹏博士,600804.SH
东软载波,300183.SZ
大商股份,600694.SH
东山精密,002384.SZ
道森股份,603800.SH
大参林,603233.SH
大同煤业,601001.SH
大连热电,600719.SH
盾安环境,002011.SZ
敦煌种业,600354.SH
迪威迅,300167.SZ
帝欧家居,002798.SZ
东旭蓝天,000040.SZ
大洋电机,002249.SZ
德美化工,002054.SZ
绿色动力,601330.SH
东易日盛,002713.SZ
读者传媒,603999.SH
獐子岛,002069.SZ
大智慧,601519.SH
大众交通,600611.SH
大众公用,600635.SH
恒泰实达,300513.SZ
怡亚通,002183.SZ
伊戈尔,002922.SZ
电科院,300215.SZ
奥佳华,002614.SZ
当升科技,300073.SZ
易事特,300376.SZ
东方通信,600776.SH
东信和平,002017.SZ
东方金钰,600086.SH
东方财富,300059.SZ
易世达,300125.SZ
宜通世纪,300310.SZ
东方铁塔,002545.SZ
东方嘉盛,002889.SZ
易见股份,600093.SH
宏昌电子,603002.SH
光大嘉宝,600622.SH
光大证券,601788.SH
华东电脑,600850.SH
东晶电子,002199.SZ
上海洗霸,603200.SH
毅昌股份,002420.SZ
美丽生态,000010.SZ
科沃斯,603486.SH
理邦仪器,300206.SZ
艾迪精密,603638.SH
明德生物,002932.SZ
漫步者,002351.SZ
亿晶光电,600537.SH
艾格拉斯,002619.SZ
数字政通,300075.SZ
欧浦智网,002711.SZ
电连技术,300679.SZ
电魂网络,603258.SH
光一科技,300356.SZ
东湖高新,600133.SH
亿利洁能,600277.SH
歌力思,603808.SH
依顿电子,603328.SH
恒为科技,603496.SH
峨眉山A,000888.SZ
雄帝科技,300546.SZ
东材科技,601208.SH
派思股份,603318.SH
银江股份,300020.SZ
光线传媒,300251.SZ
新奥股份,600803.SH
英搏尔,300681.SZ
英维克,002837.SZ
宜安科技,300328.SZ
新易盛,300502.SZ
尔康制药,300267.SZ
鄂尔多斯,600295.SH
恒锋工具,300488.SZ
埃斯顿,002747.SZ
易尚展示,002751.SZ
永鼎股份,600105.SH
德豪润达,002005.SZ
安控科技,300370.SZ
易德龙,603380.SH
法兰泰克,603966.SH
亿纬锂能,300014.SZ
远方信息,300306.SZ
悦心健康,002162.SZ
三六五网,300295.SZ
永安行,603776.SH
长盈精密,300115.SZ
激智科技,300566.SZ
风语筑,603466.SH
飞乐音响,600651.SH
惠伦晶体,300460.SZ
方大炭素,600516.SH
方大集团,000055.SZ
方大特钢,600507.SH
方盛制药,603998.SH
法拉电子,600563.SH
法尔胜,000890.SZ
兴森科技,002436.SZ
一汽富维,600742.SH
一汽轿车,000800.SZ
富奥股份,000030.SZ
广和通,300638.SZ
佛慈制药,002644.SZ
菲达环保,600526.SH
菲利华,300395.SZ
飞力达,300240.SZ
飞鹿股份,300665.SZ
飞马国际,002210.SZ
飞天诚信,300386.SZ
奋达科技,002681.SZ
风华高科,000636.SZ
丰乐种业,000713.SZ
